,QA,math,instruct,k0-gamma0.25-delta1,k0-gamma0.25-delta2,k1-gamma0.25-delta1,k1-gamma0.25-delta2,k2-gamma0.25-delta2,aar-k2,aar-k3,aar-k4
QA,4.515415191650391,0.018703598529100418,0.07172387838363647,0.004259767010807991,0.0044153290800750256,0.003776674857363105,0.0028534673620015383,0.002723810961470008,0.0051191868260502815,0.004506885539740324,0.004081605467945337
math,0.018703598529100418,3.4439592361450195,0.04832126200199127,0.011286526918411255,0.01698658987879753,0.006088114343583584,0.005201542284339666,0.004286675713956356,0.01123901642858982,0.012749254703521729,0.012300928123295307
instruct,0.07172387838363647,0.04832126200199127,4.046624660491943,0.009021184407174587,0.009772973135113716,0.004678542725741863,0.006488494575023651,0.0022069192491471767,0.023429399356245995,0.020159892737865448,0.01886082999408245
k0-gamma0.25-delta1,0.004259767010807991,0.011286526918411255,0.009021184407174587,3.8480634689331055,2.013618230819702,1.4370224475860596,0.7565617561340332,0.8003067374229431,0.15575046837329865,0.18640169501304626,0.19159910082817078
k0-gamma0.25-delta2,0.0044153290800750256,0.01698658987879753,0.009772973135113716,2.013618230819702,4.052453994750977,1.3562361001968384,0.7870110869407654,0.7783520817756653,0.16254857182502747,0.19246461987495422,0.1919334977865219
k1-gamma0.25-delta1,0.003776674857363105,0.006088114343583584,0.004678542725741863,1.4370224475860596,1.3562361001968384,3.9444546699523926,2.3952224254608154,0.7657144665718079,0.17409397661685944,0.18749910593032837,0.18740172684192657
k1-gamma0.25-delta2,0.0028534673620015383,0.005201542284339666,0.006488494575023651,0.7565617561340332,0.7870110869407654,2.3952224254608154,3.477179765701294,0.5808125138282776,0.18718275427818298,0.15763816237449646,0.13893695175647736
k2-gamma0.25-delta2,0.002723810961470008,0.004286675713956356,0.0022069192491471767,0.8003067374229431,0.7783520817756653,0.7657144665718079,0.5808125138282776,3.866886615753174,0.20858684182167053,0.1941221058368683,0.15571998059749603
aar-k2,0.0051191868260502815,0.01123901642858982,0.023429399356245995,0.15575046837329865,0.16254857182502747,0.17409397661685944,0.18718275427818298,0.20858684182167053,3.3273136615753174,0.19413428008556366,0.12543432414531708
aar-k3,0.004506885539740324,0.012749254703521729,0.020159892737865448,0.18640169501304626,0.19246461987495422,0.18749910593032837,0.15763816237449646,0.1941221058368683,0.19413428008556366,4.153722286224365,0.2054770141839981
aar-k4,0.004081605467945337,0.012300928123295307,0.01886082999408245,0.19159910082817078,0.1919334977865219,0.18740172684192657,0.13893695175647736,0.15571998059749603,0.12543432414531708,0.2054770141839981,4.1639299392700195
